UID,YSS Category (for shivam's reference),URLs for testing before redirection,YSS Old URL (Redirection FROM),YSS New URL (Redirection TO)
833356,OIS,https://test.yssofindia.org/teachings-library/how-to-live-a-god-oriented-life-by-swami-sattvananda-giri,/blog/how-to-live-a-god-oriented-life-by-swami-sattvananda-giri,/teachings-library/how-to-live-a-god-oriented-life-by-swami-sattvananda-giri
872769,OIS,https://test.yssofindia.org/teachings-library/expanding-our-love-for-others-and-for-god-by-swami-saralananda-giri,/blog/expanding-our-love-for-others-and-for-god-by-swami-saralananda-giri,/teachings-library/expanding-our-love-for-others-and-for-god-by-swami-saralananda-giri
821927,OIS,https://test.yssofindia.org/teachings-library/hearing-the-voice-of-conscience-within-you-by-swami-satyananda-giri,/blog/hearing-the-voice-of-conscience-within-you-by-swami-satyananda-giri,/teachings-library/hearing-the-voice-of-conscience-within-you-by-swami-satyananda-giri
874157,OIS,https://test.yssofindia.org/teachings-library/cultivating-faith-and-inner-strength-in-todays-world-by-nandini-mai,/blog/cultivating-faith-and-inner-strength-in-todays-world-by-nandini-mai,/teachings-library/cultivating-faith-and-inner-strength-in-todays-world-by-nandini-mai
883017,OIS,https://test.yssofindia.org/teachings-library/loyalty-highest-law-for-spiritual-success-by-swami-ishtananda-giri,/blog/loyalty-highest-law-for-spiritual-success-by-swami-ishtananda-giri,/teachings-library/loyalty-highest-law-for-spiritual-success-by-swami-ishtananda-giri
820920,OIS,https://test.yssofindia.org/teachings-library/overcoming-nervousness-by-swami-nakulananda-giri,/blog/overcoming-nervousness-by-swami-nakulananda-giri,/teachings-library/overcoming-nervousness-by-swami-nakulananda-giri
863683,OIS,https://test.yssofindia.org/teachings-library/living-with-gratitude-by-brahmani-mai,/blog/living-with-gratitude-by-brahmani-mai,/teachings-library/living-with-gratitude-by-brahmani-mai
895219,OIS,https://test.yssofindia.org/teachings-library/become-fearless-centre-your-life-in-god-by-swami-govindananda-giri,/blog/become-fearless-centre-your-life-in-god-by-swami-govindananda-giri,/teachings-library/become-fearless-centre-your-life-in-god-by-swami-govindananda-giri
855810,OIS,https://test.yssofindia.org/teachings-library/spiritualizing-family-life-by-ranjana-mai,/blog/spiritualizing-family-life-by-ranjana-mai,/teachings-library/spiritualizing-family-life-by-ranjana-mai
896566,OIS,https://test.yssofindia.org/teachings-library/what-is-truth-by-swami-ritananda-giri,/blog/what-is-truth-by-swami-ritananda-giri,/teachings-library/what-is-truth-by-swami-ritananda-giri
815517,OIS,https://test.yssofindia.org/teachings-library/love-human-and-divine-by-swami-satyananda-giri,/blog/love-human-and-divine-by-swami-satyananda-giri,/teachings-library/love-human-and-divine-by-swami-satyananda-giri
896494,OIS,https://test.yssofindia.org/teachings-library/the-caring-heart-of-divine-mother-by-nandini-mai,/blog/the-caring-heart-of-divine-mother-by-nandini-mai,/teachings-library/the-caring-heart-of-divine-mother-by-nandini-mai
829754,OIS,https://test.yssofindia.org/teachings-library/controlling-the-power-of-habits-by-swami-prafullananda-giri,/blog/controlling-the-power-of-habits-by-swami-prafullananda-giri,/teachings-library/controlling-the-power-of-habits-by-swami-prafullananda-giri
888124,OIS,https://test.yssofindia.org/teachings-library/ways-to-conquer-fear-by-swami-saralananda-giri,/blog/ways-to-conquer-fear-by-swami-saralananda-giri,/teachings-library/ways-to-conquer-fear-by-swami-saralananda-giri
859020,OIS,https://test.yssofindia.org/teachings-library/attuning-our-lives-with-gods-plan-by-swami-chidananda-giri,/blog/attuning-our-lives-with-gods-plan-by-swami-chidananda-giri,/teachings-library/attuning-our-lives-with-gods-plan-by-swami-chidananda-giri
881703,OIS,https://test.yssofindia.org/teachings-library/discovering-the-lasting-happiness-of-your-soul-by-swami-nakulananda-giri,/blog/discovering-the-lasting-happiness-of-your-soul-by-swami-nakulananda-giri,/teachings-library/discovering-the-lasting-happiness-of-your-soul-by-swami-nakulananda-giri
829885,OIS,https://test.yssofindia.org/teachings-library/creating-your-spiritual-environment-by-swami-anandamoy-giri,/blog/creating-your-spiritual-environment-by-swami-anandamoy-giri,/teachings-library/creating-your-spiritual-environment-by-swami-anandamoy-giri
899458,OIS,https://test.yssofindia.org/teachings-library/uniting-our-will-with-gods-infinite-power-by-swami-sevananda-giri,/blog/uniting-our-will-with-gods-infinite-power-by-swami-sevananda-giri,/teachings-library/uniting-our-will-with-gods-infinite-power-by-swami-sevananda-giri
866065,OIS,https://test.yssofindia.org/teachings-library/achieving-your-material-and-spiritual-goals-by-swami-chidananda-giri,/blog/achieving-your-material-and-spiritual-goals-by-swami-chidananda-giri,/teachings-library/achieving-your-material-and-spiritual-goals-by-swami-chidananda-giri
815929,OIS,https://test.yssofindia.org/teachings-library/paramahansa-yogananda-a-world-teacher-by-swami-anandamoy-giri,/blog/paramahansa-yogananda-a-world-teacher-by-swami-anandamoy-giri,/teachings-library/paramahansa-yogananda-a-world-teacher-by-swami-anandamoy-giri
867302,OIS,https://test.yssofindia.org/teachings-library/spiritual-generosity-the-art-of-selflessly-helping-others-by-swami-nakulananda-giri,/blog/spiritual-generosity-the-art-of-selflessly-helping-others,/teachings-library/spiritual-generosity-the-art-of-selflessly-helping-others-by-swami-nakulananda-giri
861954,OIS,https://test.yssofindia.org/teachings-library/living-in-the-sacred-presence-of-divine-mother-by-swami-chidananda-giri,/blog/living-in-the-sacred-presence-of-the-divine-mother,/teachings-library/living-in-the-sacred-presence-of-divine-mother-by-swami-chidananda-giri
844084,OIS,https://test.yssofindia.org/teachings-library/the-cosmic-mystery-of-karma-and-reincarnation-by-swami-sevananda-giri,/blog/the-cosmic-mystery-of-karma-and-reincarnation,/teachings-library/the-cosmic-mystery-of-karma-and-reincarnation-by-swami-sevananda-giri
848374,OIS,https://test.yssofindia.org/teachings-library/your-thoughts-can-change-your-life-by-swami-anandamoy-giri,/blog/your-thoughts-can-change-your-life,/teachings-library/your-thoughts-can-change-your-life-by-swami-anandamoy-giri
815142,OIS,https://test.yssofindia.org/teachings-library/coping-with-lifes-challenges-by-swami-smaranananda-giri,/blog/coping-with-lifes-challenges,/teachings-library/coping-with-lifes-challenges-by-swami-smaranananda-giri
811107,OIS,https://test.yssofindia.org/teachings-library/spiritual-happiness-tapping-into-the-souls-storehouse-of-love-peace-and-joy-by-preeti-mai,/blog/spiritual-happiness-tapping-into-the-souls-storehouse-of-love-peace-and-joy,/teachings-library/spiritual-happiness-tapping-into-the-souls-storehouse-of-love-peace-and-joy-by-preeti-mai
831557,OIS,https://test.yssofindia.org/teachings-library/a-promise-of-light-by-sri-sri-daya-mata,/blog/a-promise-of-light,/teachings-library/a-promise-of-light-by-sri-sri-daya-mata
856979,OIS,https://test.yssofindia.org/teachings-library/the-guru-guide-to-eternal-freedom-by-swami-anilananda-giri,/blog/the-guru-guide-to-eternal-freedom,/teachings-library/the-guru-guide-to-eternal-freedom-by-swami-anilananda-giri
808637,OIS,https://test.yssofindia.org/teachings-library/true-devotion-living-in-gods-presence-moment-by-moment-by-swami-vishwananda-giri,/blog/true-devotion-living-in-gods-presence-moment-by-moment-by-swami-vishwananda-giri,/teachings-library/true-devotion-living-in-gods-presence-moment-by-moment-by-swami-vishwananda-giri
815258,OIS,https://test.yssofindia.org/teachings-library/finding-spiritual-balance-in-your-life-by-priya-mai,/blog/finding-spiritual-balance-in-your-life,/teachings-library/finding-spiritual-balance-in-your-life-by-priya-mai
831176,OIS,https://test.yssofindia.org/teachings-library/principles-of-effective-prayer-by-swami-smaranananda-giri,/blog/principles-of-effective-prayer,/teachings-library/principles-of-effective-prayer-by-swami-smaranananda-giri
872781,OIS,https://test.yssofindia.org/teachings-library/strengthening-character-by-developing-spiritual-courage-and-endurance-by-swami-chidananda-giri,/blog/strengthening-character-by-developing-spiritual-courage-and-endurance,/teachings-library/strengthening-character-by-developing-spiritual-courage-and-endurance-by-swami-chidananda-giri
809224,OIS,https://test.yssofindia.org/teachings-library/fulfilling-the-highest-purpose-of-life-by-swami-vishwananda-giri,/blog/fulfilling-the-highest-purpose-of-life,/teachings-library/fulfilling-the-highest-purpose-of-life-by-swami-vishwananda-giri
809789,OIS,https://test.yssofindia.org/teachings-library/the-final-days-of-paramahansa-yogananda-by-sri-sri-daya-mata,/blog/my-spirit-shall-live-on-the-final-days-of-paramahansa-yogananda-by-sri-daya-mata,/teachings-library/the-final-days-of-paramahansa-yogananda-by-sri-sri-daya-mata
884785,OIS,https://test.yssofindia.org/teachings-library/celebrating-christmas-in-the-temple-of-the-soul-by-swami-nakulananda-giri,/blog/celebrating-christmas-in-the-temple-of-the-soul-by-swami-nakulananda-giri,/teachings-library/celebrating-christmas-in-the-temple-of-the-soul-by-swami-nakulananda-giri
855035,OIS,https://test.yssofindia.org/teachings-library/the-deeper-teachings-of-jesus-christ-by-swami-saralananda-giri,/blog/the-deeper-teachings-of-jesus-christ-by-swami-saralananda-giri,/teachings-library/the-deeper-teachings-of-jesus-christ-by-swami-saralananda-giri
827899,OIS,https://test.yssofindia.org/teachings-library/living-without-fear-by-swami-anantananda-giri,/blog/living-without-fear-by-swami-anantananda-giri,/teachings-library/living-without-fear-by-swami-anantananda-giri
814359,OIS,https://test.yssofindia.org/teachings-library/opening-your-heart-to-gods-presence-by-sri-daya-mata,/blog/opening-your-heart-to-gods-presence-by-sri-daya-mata,/teachings-library/opening-your-heart-to-gods-presence-by-sri-daya-mata
880444,OIS,https://test.yssofindia.org/teachings-library/getting-acquainted-with-god-by-swami-sattvananda-giri,/blog/getting-acquainted-with-god-by-swami-sattvananda-giri,/teachings-library/getting-acquainted-with-god-by-swami-sattvananda-giri
868310,YSS OIS,https://test.yssofindia.org/teachings-library/importance-of-sadhana-and-seva-for-a-devotee-by-swami-ishwarananda-giri,/blog/importance-of-sadhana-and-seva-for-a-devotee-by-swami-ishwarananda-giri,/teachings-library/importance-of-sadhana-and-seva-for-a-devotee-by-swami-ishwarananda-giri
