UID,YSS Category (for shivam's reference),URLs for testing before redirection,YSS Old URL (Redirection FROM),YSS New URL (Redirection TO)
817928,OIS,https://test.yssofindia.org/teachings-library/self-esteem-a-spiritual-perspective-by-mukti-mata,/blog/self-esteem-a-spiritual-perspective-by-mukti-mata,/teachings-library/self-esteem-a-spiritual-perspective-by-mukti-mata
877244,OIS,https://test.yssofindia.org/teachings-library/what-is-salvation-by-swami-prafullananda-giri,/blog/what-is-salvation-by-swami-prafullananda-giri,/teachings-library/what-is-salvation-by-swami-prafullananda-giri
875182,OIS,https://test.yssofindia.org/teachings-library/the-mother-aspect-of-god-by-swami-bhumananda-giri,/blog/the-mother-aspect-of-god-by-swami-bhumananda-giri,/teachings-library/the-mother-aspect-of-god-by-swami-bhumananda-giri
830469,OIS,https://test.yssofindia.org/teachings-library/how-to-perceive-gods-presence-in-the-stillness-of-meditation-by-swami-saralananda-giri,/blog/how-to-perceive-gods-presence-in-the-stillness-of-meditation-by-swami-saralananda-giri,/teachings-library/how-to-perceive-gods-presence-in-the-stillness-of-meditation-by-swami-saralananda-giri
825449,OIS,https://test.yssofindia.org/teachings-library/the-purpose-of-life-by-swami-nakulananda-giri,/blog/the-purpose-of-life-by-swami-nakulananda-giri,/teachings-library/the-purpose-of-life-by-swami-nakulananda-giri
854306,OIS,https://test.yssofindia.org/teachings-library/creating-world-unity-through-yoga-meditation-by-swami-ritananda-giri,/blog/creating-world-unity-through-yoga-meditation-by-swami-ritananda-giri,/teachings-library/creating-world-unity-through-yoga-meditation-by-swami-ritananda-giri
809279,OIS,https://test.yssofindia.org/teachings-library/the-importance-of-a-true-guru-by-swami-anandamoy-giri,/blog/the-importance-of-a-true-guru-by-swami-anandamoy-giri,/teachings-library/the-importance-of-a-true-guru-by-swami-anandamoy-giri
883460,OIS,https://test.yssofindia.org/teachings-library/the-personal-approach-to-god-by-swami-bhaktananda-giri,/blog/the-personal-approach-to-god-by-swami-bhaktananda-giri,/teachings-library/the-personal-approach-to-god-by-swami-bhaktananda-giri
867141,OIS,https://test.yssofindia.org/teachings-library/sustaining-a-joyful-heart-in-times-of-adversity-by-swami-sevananda-giri,/blog/sustaining-a-joyful-heart-in-times-of-adversity-by-swami-sevananda-giri,/teachings-library/sustaining-a-joyful-heart-in-times-of-adversity-by-swami-sevananda-giri
874822,OIS,https://test.yssofindia.org/teachings-library/building-our-relationships-on-a-spiritual-foundation-by-bhakti-mai,/blog/building-our-relationships-on-a-spiritual-foundation-by-bhakti-mai,/teachings-library/building-our-relationships-on-a-spiritual-foundation-by-bhakti-mai
818451,OIS,https://test.yssofindia.org/teachings-library/finding-joy-in-plain-living-and-high-thinking-by-swami-satyananda-giri,/blog/finding-joy-in-plain-living-and-high-thinking-by-swami-satyananda-giri,/teachings-library/finding-joy-in-plain-living-and-high-thinking-by-swami-satyananda-giri
843218,OIS,https://test.yssofindia.org/teachings-library/removing-mental-ruts-with-new-ways-of-living-by-swami-vishwananda-giri,/blog/removing-mental-ruts-with-new-ways-of-living-by-swami-vishwananda-giri,/teachings-library/removing-mental-ruts-with-new-ways-of-living-by-swami-vishwananda-giri
836731,OIS,https://test.yssofindia.org/teachings-library/developing-dynamic-will-power-by-swami-govindananda-giri,/blog/developing-dynamic-will-power-by-swami-govindananda-giri,/teachings-library/developing-dynamic-will-power-by-swami-govindananda-giri
863666,OIS,https://test.yssofindia.org/teachings-library/concentration-key-to-communion-with-god-by-swami-ishtananda-giri,/blog/blog-concentration-key-to-communion-with-god-by-swami-ishtananda-giri,/teachings-library/concentration-key-to-communion-with-god-by-swami-ishtananda-giri
833022,OIS,https://test.yssofindia.org/teachings-library/coping-with-lifes-tests-by-sri-mrinalini-mata,/blog/blog-coping-with-lifes-test-by-sri-mrinalini-mata,/teachings-library/coping-with-lifes-tests-by-sri-mrinalini-mata
851129,OIS,https://test.yssofindia.org/teachings-library/giving-thanks-for-lifes-blessings-by-swami-kamalananda-giri,/blog/giving-thanks-for-life-blessings-by-swami-kamalananda-giri,/teachings-library/giving-thanks-for-lifes-blessings-by-swami-kamalananda-giri
811653,OIS,https://test.yssofindia.org/teachings-library/finding-your-inner-strength-by-ranjana-mai,/blog/finding-your-inner-strength-by-ranjana-mai,/teachings-library/finding-your-inner-strength-by-ranjana-mai
830331,OIS,https://test.yssofindia.org/teachings-library/giving-thanks-for-lifes-blessings-attitudes-of-a-yogi-by-swami-jayananda,/blog/giving-thanks-for-lifes-blessings,/teachings-library/giving-thanks-for-lifes-blessings-attitudes-of-a-yogi-by-swami-jayananda
802161,OIS,https://test.yssofindia.org/teachings-library/the-science-of-kriya-yoga-by-swami-bhumananda-giri,/blog/the-science-of-kriya-yoga-by-swami-bhumananda-giri,/teachings-library/the-science-of-kriya-yoga-by-swami-bhumananda-giri
810494,OIS,https://test.yssofindia.org/teachings-library/attunement-with-the-christ-consciousness-by-swami-prafullananda-giri,/blog/attunement-with-the-christ-consciousness-by-swami-prafullananda-giri,/teachings-library/attunement-with-the-christ-consciousness-by-swami-prafullananda-giri
855126,OIS,https://test.yssofindia.org/teachings-library/yama-and-niyama-how-to-live-skills-for-inner-strength-and-freedom-by-swami-chidananda-giri,/blog/yama-and-niyama-how-to-live-skills-for-inner-strength-and-freedom-by-swami-chidananda-giri,/teachings-library/yama-and-niyama-how-to-live-skills-for-inner-strength-and-freedom-by-swami-chidananda-giri
894716,OIS,https://test.yssofindia.org/teachings-library/change-your-life-with-the-practice-of-silence-by-swami-jayananda-giri,/blog/change-your-life-with-the-practice-of-silence-by-swami-jayananda-giri,/teachings-library/change-your-life-with-the-practice-of-silence-by-swami-jayananda-giri
853835,OIS,https://test.yssofindia.org/teachings-library/a-world-in-transition-by-swami-anandamoy-giri,/blog/a-world-in-transition-by-swami-anandamoy-giri,/teachings-library/a-world-in-transition-by-swami-anandamoy-giri
887061,OIS,https://test.yssofindia.org/teachings-library/awakening-divine-memory-by-swami-ritananda-giri,/blog/awakening-divine-memory-by-swami-ritananda-giri,/teachings-library/awakening-divine-memory-by-swami-ritananda-giri
844982,OIS,https://test.yssofindia.org/teachings-library/bringing-the-power-of-joy-into-our-lives-by-swami-achalananda-giri,/blog/bringing-the-power-of-joy-into-our-lives-by-swami-achalananda-giri,/teachings-library/bringing-the-power-of-joy-into-our-lives-by-swami-achalananda-giri
846552,OIS,https://test.yssofindia.org/teachings-library/how-to-find-peace-in-todays-world-by-swami-sevananda-giri,/blog/how-to-find-peace-in-todays-world-by-swami-sevananda-giri,/teachings-library/how-to-find-peace-in-todays-world-by-swami-sevananda-giri
819046,OIS,https://test.yssofindia.org/teachings-library/the-yoga-sadhana-that-brings-gods-love-and-bliss-by-sri-mrinalini-mata,/blog/the-yoga-sadhana-that-brings-gods-love-and-bliss-by-sri-mrinalini-mata,/teachings-library/the-yoga-sadhana-that-brings-gods-love-and-bliss-by-sri-mrinalini-mata
856126,OIS,https://test.yssofindia.org/teachings-library/cultivating-the-divine-qualities-that-lead-to-self-realization-by-priya-mai,/blog/cultivating-the-divine-qualities-that-lead-to-self-realization-by-priya-mai,/teachings-library/cultivating-the-divine-qualities-that-lead-to-self-realization-by-priya-mai
825113,OIS,https://test.yssofindia.org/teachings-library/the-importance-of-developing-evenmindedness-by-swami-muktananda-giri,/blog/the-importance-of-developing-evenmindedness-by-swami-muktananda-giri,/teachings-library/the-importance-of-developing-evenmindedness-by-swami-muktananda-giri
844753,OIS,https://test.yssofindia.org/teachings-library/a-blessing-from-mahavatar-babaji-by-sri-daya-mata,/blog/a-blessing-from-mahavatar-babaji-by-sri-daya-mata,/teachings-library/a-blessing-from-mahavatar-babaji-by-sri-daya-mata
